Title: P in a C-H (1:1.38) plasma (Ni = 3.19e+24/cm^3, Ti=Te= 5.00e-01 keV)
Header: Electron degeneracy correction used.
rho = 30.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
5.9332e-03	1.4848e+01
1.1818e-02	1.4697e+01
1.7656e-02	1.4545e+01
2.3445e-02	1.4394e+01
2.9186e-02	1.4242e+01
3.4879e-02	1.4091e+01
4.0524e-02	1.3939e+01
4.6120e-02	1.3788e+01
5.1668e-02	1.3636e+01
5.7167e-02	1.3485e+01
6.2617e-02	1.3333e+01
6.8019e-02	1.3182e+01
7.3372e-02	1.3030e+01
7.8676e-02	1.2879e+01
8.3932e-02	1.2727e+01
8.9138e-02	1.2576e+01
9.4294e-02	1.2424e+01
9.9402e-02	1.2273e+01
1.0446e-01	1.2121e+01
1.0947e-01	1.1970e+01
1.1443e-01	1.1818e+01
1.1934e-01	1.1667e+01
1.2420e-01	1.1515e+01
1.2901e-01	1.1364e+01
1.3377e-01	1.1212e+01
1.3848e-01	1.1061e+01
1.4313e-01	1.0909e+01
1.4774e-01	1.0758e+01
1.5230e-01	1.0606e+01
1.5681e-01	1.0455e+01
1.6127e-01	1.0303e+01
1.6567e-01	1.0152e+01
1.7003e-01	1.0000e+01
1.7433e-01	9.8485e+00
1.7858e-01	9.6970e+00
1.8279e-01	9.5455e+00
1.8694e-01	9.3939e+00
1.9103e-01	9.2424e+00
1.9508e-01	9.0909e+00
1.9908e-01	8.9394e+00
2.0302e-01	8.7879e+00
2.0691e-01	8.6364e+00
2.1075e-01	8.4848e+00
2.1453e-01	8.3333e+00
2.1827e-01	8.1818e+00
2.2195e-01	8.0303e+00
2.2557e-01	7.8788e+00
2.2915e-01	7.7273e+00
2.3267e-01	7.5758e+00
2.3614e-01	7.4242e+00
2.3955e-01	7.2727e+00
2.4291e-01	7.1212e+00
2.4622e-01	6.9697e+00
2.4947e-01	6.8182e+00
2.5267e-01	6.6667e+00
2.5581e-01	6.5152e+00
2.5890e-01	6.3636e+00
2.6194e-01	6.2121e+00
2.6492e-01	6.0606e+00
2.6785e-01	5.9091e+00
2.7072e-01	5.7576e+00
2.7354e-01	5.6061e+00
2.7630e-01	5.4545e+00
2.7900e-01	5.3030e+00
2.8166e-01	5.1515e+00
2.8425e-01	5.0000e+00
2.8679e-01	4.8485e+00
2.8928e-01	4.6970e+00
2.9171e-01	4.5455e+00
2.9409e-01	4.3939e+00
2.9641e-01	4.2424e+00
2.9868e-01	4.0909e+00
3.0089e-01	3.9394e+00
3.0305e-01	3.7879e+00
3.0516e-01	3.6364e+00
3.0721e-01	3.4848e+00
3.0921e-01	3.3333e+00
3.1116e-01	3.1818e+00
3.1306e-01	3.0303e+00
3.1490e-01	2.8788e+00
3.1670e-01	2.7273e+00
3.1845e-01	2.5758e+00
3.2015e-01	2.4242e+00
3.2181e-01	2.2727e+00
3.2342e-01	2.1212e+00
3.2499e-01	1.9697e+00
3.2652e-01	1.8182e+00
3.2801e-01	1.6667e+00
3.2947e-01	1.5152e+00
3.3090e-01	1.3636e+00
3.3230e-01	1.2121e+00
3.3368e-01	1.0606e+00
3.3504e-01	9.0909e-01
3.3641e-01	7.5758e-01
3.3778e-01	6.0606e-01
3.3920e-01	4.5455e-01
3.4072e-01	3.0303e-01
3.4254e-01	1.5152e-01
3.4508e-01	7.5000e-04
