Title: P in a D plasma (Ni = 2.99e+24/cm^3, Ti=Te= 5.00e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
5.2764e-03	1.4848e+01
1.0508e-02	1.4697e+01
1.5695e-02	1.4545e+01
2.0837e-02	1.4394e+01
2.5934e-02	1.4242e+01
3.0986e-02	1.4091e+01
3.5994e-02	1.3939e+01
4.0956e-02	1.3788e+01
4.5872e-02	1.3636e+01
5.0744e-02	1.3485e+01
5.5570e-02	1.3333e+01
6.0351e-02	1.3182e+01
6.5087e-02	1.3030e+01
6.9777e-02	1.2879e+01
7.4421e-02	1.2727e+01
7.9019e-02	1.2576e+01
8.3572e-02	1.2424e+01
8.8079e-02	1.2273e+01
9.2540e-02	1.2121e+01
9.6955e-02	1.1970e+01
1.0132e-01	1.1818e+01
1.0565e-01	1.1667e+01
1.0992e-01	1.1515e+01
1.1415e-01	1.1364e+01
1.1834e-01	1.1212e+01
1.2247e-01	1.1061e+01
1.2657e-01	1.0909e+01
1.3061e-01	1.0758e+01
1.3461e-01	1.0606e+01
1.3856e-01	1.0455e+01
1.4246e-01	1.0303e+01
1.4632e-01	1.0152e+01
1.5012e-01	1.0000e+01
1.5389e-01	9.8485e+00
1.5760e-01	9.6970e+00
1.6127e-01	9.5455e+00
1.6489e-01	9.3939e+00
1.6846e-01	9.2424e+00
1.7198e-01	9.0909e+00
1.7546e-01	8.9394e+00
1.7888e-01	8.7879e+00
1.8226e-01	8.6364e+00
1.8559e-01	8.4848e+00
1.8888e-01	8.3333e+00
1.9211e-01	8.1818e+00
1.9530e-01	8.0303e+00
1.9843e-01	7.8788e+00
2.0152e-01	7.7273e+00
2.0456e-01	7.5758e+00
2.0755e-01	7.4242e+00
2.1049e-01	7.2727e+00
2.1339e-01	7.1212e+00
2.1623e-01	6.9697e+00
2.1902e-01	6.8182e+00
2.2176e-01	6.6667e+00
2.2446e-01	6.5152e+00
2.2710e-01	6.3636e+00
2.2969e-01	6.2121e+00
2.3224e-01	6.0606e+00
2.3473e-01	5.9091e+00
2.3718e-01	5.7576e+00
2.3957e-01	5.6061e+00
2.4191e-01	5.4545e+00
2.4421e-01	5.3030e+00
2.4645e-01	5.1515e+00
2.4864e-01	5.0000e+00
2.5079e-01	4.8485e+00
2.5288e-01	4.6970e+00
2.5492e-01	4.5455e+00
2.5691e-01	4.3939e+00
2.5886e-01	4.2424e+00
2.6075e-01	4.0909e+00
2.6260e-01	3.9394e+00
2.6439e-01	3.7879e+00
2.6614e-01	3.6364e+00
2.6784e-01	3.4848e+00
2.6949e-01	3.3333e+00
2.7110e-01	3.1818e+00
2.7266e-01	3.0303e+00
2.7418e-01	2.8788e+00
2.7565e-01	2.7273e+00
2.7707e-01	2.5758e+00
2.7846e-01	2.4242e+00
2.7980e-01	2.2727e+00
2.8111e-01	2.1212e+00
2.8237e-01	1.9697e+00
2.8360e-01	1.8182e+00
2.8480e-01	1.6667e+00
2.8597e-01	1.5152e+00
2.8711e-01	1.3636e+00
2.8822e-01	1.2121e+00
2.8932e-01	1.0606e+00
2.9040e-01	9.0909e-01
2.9148e-01	7.5758e-01
2.9257e-01	6.0606e-01
2.9370e-01	4.5455e-01
2.9491e-01	3.0303e-01
2.9636e-01	1.5152e-01
2.9848e-01	7.5000e-04
