Title: P in a Si-02 plasma (Ni = 2.99e+23/cm^3, Ti=Te= 5.00e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
6.1920e-03	1.4848e+01
1.2333e-02	1.4697e+01
1.8424e-02	1.4545e+01
2.4464e-02	1.4394e+01
3.0452e-02	1.4242e+01
3.6390e-02	1.4091e+01
4.2277e-02	1.3939e+01
4.8113e-02	1.3788e+01
5.3897e-02	1.3636e+01
5.9630e-02	1.3485e+01
6.5311e-02	1.3333e+01
7.0941e-02	1.3182e+01
7.6520e-02	1.3030e+01
8.2046e-02	1.2879e+01
8.7521e-02	1.2727e+01
9.2944e-02	1.2576e+01
9.8315e-02	1.2424e+01
1.0363e-01	1.2273e+01
1.0890e-01	1.2121e+01
1.1412e-01	1.1970e+01
1.1928e-01	1.1818e+01
1.2439e-01	1.1667e+01
1.2944e-01	1.1515e+01
1.3445e-01	1.1364e+01
1.3940e-01	1.1212e+01
1.4430e-01	1.1061e+01
1.4914e-01	1.0909e+01
1.5393e-01	1.0758e+01
1.5867e-01	1.0606e+01
1.6336e-01	1.0455e+01
1.6799e-01	1.0303e+01
1.7257e-01	1.0152e+01
1.7709e-01	1.0000e+01
1.8156e-01	9.8485e+00
1.8598e-01	9.6970e+00
1.9034e-01	9.5455e+00
1.9465e-01	9.3939e+00
1.9890e-01	9.2424e+00
2.0310e-01	9.0909e+00
2.0724e-01	8.9394e+00
2.1133e-01	8.7879e+00
2.1536e-01	8.6364e+00
2.1934e-01	8.4848e+00
2.2327e-01	8.3333e+00
2.2713e-01	8.1818e+00
2.3095e-01	8.0303e+00
2.3470e-01	7.8788e+00
2.3840e-01	7.7273e+00
2.4205e-01	7.5758e+00
2.4563e-01	7.4242e+00
2.4917e-01	7.2727e+00
2.5264e-01	7.1212e+00
2.5606e-01	6.9697e+00
2.5942e-01	6.8182e+00
2.6272e-01	6.6667e+00
2.6597e-01	6.5152e+00
2.6916e-01	6.3636e+00
2.7229e-01	6.2121e+00
2.7537e-01	6.0606e+00
2.7838e-01	5.9091e+00
2.8134e-01	5.7576e+00
2.8425e-01	5.6061e+00
2.8709e-01	5.4545e+00
2.8987e-01	5.3030e+00
2.9260e-01	5.1515e+00
2.9527e-01	5.0000e+00
2.9788e-01	4.8485e+00
3.0044e-01	4.6970e+00
3.0293e-01	4.5455e+00
3.0537e-01	4.3939e+00
3.0775e-01	4.2424e+00
3.1007e-01	4.0909e+00
3.1234e-01	3.9394e+00
3.1455e-01	3.7879e+00
3.1670e-01	3.6364e+00
3.1880e-01	3.4848e+00
3.2084e-01	3.3333e+00
3.2282e-01	3.1818e+00
3.2476e-01	3.0303e+00
3.2664e-01	2.8788e+00
3.2846e-01	2.7273e+00
3.3024e-01	2.5758e+00
3.3196e-01	2.4242e+00
3.3364e-01	2.2727e+00
3.3527e-01	2.1212e+00
3.3686e-01	1.9697e+00
3.3840e-01	1.8182e+00
3.3991e-01	1.6667e+00
3.4137e-01	1.5152e+00
3.4281e-01	1.3636e+00
3.4421e-01	1.2121e+00
3.4560e-01	1.0606e+00
3.4696e-01	9.0909e-01
3.4832e-01	7.5758e-01
3.4970e-01	6.0606e-01
3.5111e-01	4.5455e-01
3.5262e-01	3.0303e-01
3.5442e-01	1.5152e-01
3.5678e-01	7.5000e-04
