Title: P in a C-D plasma (Ni = 8.54e+23/cm^3, Ti=Te= 5.00e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
5.8344e-03	1.4848e+01
1.1620e-02	1.4697e+01
1.7358e-02	1.4545e+01
2.3047e-02	1.4394e+01
2.8687e-02	1.4242e+01
3.4279e-02	1.4091e+01
3.9822e-02	1.3939e+01
4.5316e-02	1.3788e+01
5.0761e-02	1.3636e+01
5.6157e-02	1.3485e+01
6.1503e-02	1.3333e+01
6.6801e-02	1.3182e+01
7.2049e-02	1.3030e+01
7.7249e-02	1.2879e+01
8.2398e-02	1.2727e+01
8.7498e-02	1.2576e+01
9.2549e-02	1.2424e+01
9.7549e-02	1.2273e+01
1.0250e-01	1.2121e+01
1.0740e-01	1.1970e+01
1.1225e-01	1.1818e+01
1.1705e-01	1.1667e+01
1.2180e-01	1.1515e+01
1.2650e-01	1.1364e+01
1.3115e-01	1.1212e+01
1.3575e-01	1.1061e+01
1.4030e-01	1.0909e+01
1.4480e-01	1.0758e+01
1.4925e-01	1.0606e+01
1.5364e-01	1.0455e+01
1.5799e-01	1.0303e+01
1.6228e-01	1.0152e+01
1.6653e-01	1.0000e+01
1.7072e-01	9.8485e+00
1.7486e-01	9.6970e+00
1.7894e-01	9.5455e+00
1.8298e-01	9.3939e+00
1.8697e-01	9.2424e+00
1.9090e-01	9.0909e+00
1.9478e-01	8.9394e+00
1.9861e-01	8.7879e+00
2.0238e-01	8.6364e+00
2.0610e-01	8.4848e+00
2.0977e-01	8.3333e+00
2.1339e-01	8.1818e+00
2.1696e-01	8.0303e+00
2.2047e-01	7.8788e+00
2.2393e-01	7.7273e+00
2.2733e-01	7.5758e+00
2.3068e-01	7.4242e+00
2.3398e-01	7.2727e+00
2.3722e-01	7.1212e+00
2.4041e-01	6.9697e+00
2.4355e-01	6.8182e+00
2.4663e-01	6.6667e+00
2.4966e-01	6.5152e+00
2.5263e-01	6.3636e+00
2.5555e-01	6.2121e+00
2.5841e-01	6.0606e+00
2.6122e-01	5.9091e+00
2.6398e-01	5.7576e+00
2.6667e-01	5.6061e+00
2.6932e-01	5.4545e+00
2.7191e-01	5.3030e+00
2.7444e-01	5.1515e+00
2.7692e-01	5.0000e+00
2.7935e-01	4.8485e+00
2.8172e-01	4.6970e+00
2.8403e-01	4.5455e+00
2.8629e-01	4.3939e+00
2.8850e-01	4.2424e+00
2.9065e-01	4.0909e+00
2.9274e-01	3.9394e+00
2.9479e-01	3.7879e+00
2.9678e-01	3.6364e+00
2.9871e-01	3.4848e+00
3.0060e-01	3.3333e+00
3.0243e-01	3.1818e+00
3.0421e-01	3.0303e+00
3.0594e-01	2.8788e+00
3.0763e-01	2.7273e+00
3.0926e-01	2.5758e+00
3.1085e-01	2.4242e+00
3.1239e-01	2.2727e+00
3.1389e-01	2.1212e+00
3.1535e-01	1.9697e+00
3.1676e-01	1.8182e+00
3.1814e-01	1.6667e+00
3.1949e-01	1.5152e+00
3.2080e-01	1.3636e+00
3.2209e-01	1.2121e+00
3.2336e-01	1.0606e+00
3.2461e-01	9.0909e-01
3.2586e-01	7.5758e-01
3.2711e-01	6.0606e-01
3.2841e-01	4.5455e-01
3.2980e-01	3.0303e-01
3.3147e-01	1.5152e-01
3.3375e-01	7.5000e-04
