Title: P in a C-D plasma (Ni = 2.56e+24/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 30.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	2.1904e-03
4.0000e-01	3.5451e-03
6.0000e-01	4.8591e-03
8.0000e-01	6.2115e-03
1.0000e+00	7.6327e-03
1.2000e+00	9.1399e-03
1.4000e+00	1.0744e-02
1.6000e+00	1.2454e-02
1.8000e+00	1.4274e-02
2.0000e+00	1.6208e-02
2.2000e+00	1.8258e-02
2.4000e+00	2.0426e-02
2.6000e+00	2.2714e-02
2.8000e+00	2.5120e-02
3.0000e+00	2.7645e-02
3.2000e+00	3.0288e-02
3.4000e+00	3.3049e-02
3.6000e+00	3.5927e-02
3.8000e+00	3.8921e-02
4.0000e+00	4.2030e-02
4.2000e+00	4.5253e-02
4.4000e+00	4.8590e-02
4.6000e+00	5.2039e-02
4.8000e+00	5.5600e-02
5.0000e+00	5.9272e-02
5.2000e+00	6.3054e-02
5.4000e+00	6.6945e-02
5.6000e+00	7.0944e-02
5.8000e+00	7.5052e-02
6.0000e+00	7.9266e-02
6.2000e+00	8.3587e-02
6.4000e+00	8.8014e-02
6.6000e+00	9.2547e-02
6.8000e+00	9.7184e-02
7.0000e+00	1.0192e-01
7.2000e+00	1.0677e-01
7.4000e+00	1.1172e-01
7.6000e+00	1.1677e-01
7.8000e+00	1.2192e-01
8.0000e+00	1.2718e-01
8.2000e+00	1.3253e-01
8.4000e+00	1.3799e-01
8.6000e+00	1.4354e-01
8.8000e+00	1.4920e-01
9.0000e+00	1.5496e-01
9.2000e+00	1.6081e-01
9.4000e+00	1.6677e-01
9.6000e+00	1.7282e-01
9.8000e+00	1.7897e-01
1.0000e+01	1.8522e-01
1.0200e+01	1.9157e-01
1.0400e+01	1.9802e-01
1.0600e+01	2.0456e-01
1.0800e+01	2.1119e-01
1.1000e+01	2.1793e-01
1.1200e+01	2.2476e-01
1.1400e+01	2.3169e-01
1.1600e+01	2.3871e-01
1.1800e+01	2.4582e-01
1.2000e+01	2.5304e-01
1.2200e+01	2.6034e-01
1.2400e+01	2.6774e-01
1.2600e+01	2.7524e-01
1.2800e+01	2.8283e-01
1.3000e+01	2.9051e-01
1.3200e+01	2.9829e-01
1.3400e+01	3.0616e-01
1.3600e+01	3.1412e-01
1.3800e+01	3.2217e-01
1.4000e+01	3.3032e-01
1.4200e+01	3.3856e-01
1.4400e+01	3.4689e-01
1.4600e+01	3.5532e-01
1.4800e+01	3.6384e-01
1.5000e+01	3.7244e-01
1.5200e+01	3.8114e-01
1.5400e+01	3.8993e-01
1.5600e+01	3.9882e-01
1.5800e+01	4.0779e-01
1.6000e+01	4.1685e-01
1.6200e+01	4.2601e-01
1.6400e+01	4.3525e-01
1.6600e+01	4.4458e-01
1.6800e+01	4.5401e-01
1.7000e+01	4.6352e-01
1.7200e+01	4.7313e-01
1.7400e+01	4.8282e-01
1.7600e+01	4.9260e-01
1.7800e+01	5.0247e-01
1.8000e+01	5.1243e-01
1.8200e+01	5.2248e-01
1.8400e+01	5.3262e-01
1.8600e+01	5.4285e-01
1.8800e+01	5.5317e-01
1.9000e+01	5.6357e-01
1.9200e+01	5.7406e-01
1.9400e+01	5.8464e-01
1.9600e+01	5.9531e-01
1.9800e+01	6.0606e-01
2.0000e+01	6.1691e-01
