Title: P in a C-H (1:1.38) plasma (Ni = 1.06e+24/cm^3, Ti=Te= 5.00e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
5.3193e-03	1.4848e+01
1.0594e-02	1.4697e+01
1.5825e-02	1.4545e+01
2.1012e-02	1.4394e+01
2.6155e-02	1.4242e+01
3.1253e-02	1.4091e+01
3.6307e-02	1.3939e+01
4.1316e-02	1.3788e+01
4.6281e-02	1.3636e+01
5.1201e-02	1.3485e+01
5.6076e-02	1.3333e+01
6.0907e-02	1.3182e+01
6.5692e-02	1.3030e+01
7.0433e-02	1.2879e+01
7.5129e-02	1.2727e+01
7.9779e-02	1.2576e+01
8.4385e-02	1.2424e+01
8.8945e-02	1.2273e+01
9.3460e-02	1.2121e+01
9.7929e-02	1.1970e+01
1.0235e-01	1.1818e+01
1.0673e-01	1.1667e+01
1.1106e-01	1.1515e+01
1.1535e-01	1.1364e+01
1.1959e-01	1.1212e+01
1.2379e-01	1.1061e+01
1.2793e-01	1.0909e+01
1.3204e-01	1.0758e+01
1.3609e-01	1.0606e+01
1.4010e-01	1.0455e+01
1.4406e-01	1.0303e+01
1.4798e-01	1.0152e+01
1.5185e-01	1.0000e+01
1.5567e-01	9.8485e+00
1.5945e-01	9.6970e+00
1.6318e-01	9.5455e+00
1.6686e-01	9.3939e+00
1.7050e-01	9.2424e+00
1.7408e-01	9.0909e+00
1.7762e-01	8.9394e+00
1.8112e-01	8.7879e+00
1.8456e-01	8.6364e+00
1.8796e-01	8.4848e+00
1.9130e-01	8.3333e+00
1.9460e-01	8.1818e+00
1.9786e-01	8.0303e+00
2.0106e-01	7.8788e+00
2.0422e-01	7.7273e+00
2.0732e-01	7.5758e+00
2.1038e-01	7.4242e+00
2.1339e-01	7.2727e+00
2.1635e-01	7.1212e+00
2.1926e-01	6.9697e+00
2.2212e-01	6.8182e+00
2.2493e-01	6.6667e+00
2.2770e-01	6.5152e+00
2.3041e-01	6.3636e+00
2.3307e-01	6.2121e+00
2.3569e-01	6.0606e+00
2.3825e-01	5.9091e+00
2.4076e-01	5.7576e+00
2.4323e-01	5.6061e+00
2.4564e-01	5.4545e+00
2.4801e-01	5.3030e+00
2.5032e-01	5.1515e+00
2.5258e-01	5.0000e+00
2.5480e-01	4.8485e+00
2.5696e-01	4.6970e+00
2.5907e-01	4.5455e+00
2.6114e-01	4.3939e+00
2.6315e-01	4.2424e+00
2.6511e-01	4.0909e+00
2.6703e-01	3.9394e+00
2.6890e-01	3.7879e+00
2.7071e-01	3.6364e+00
2.7248e-01	3.4848e+00
2.7420e-01	3.3333e+00
2.7588e-01	3.1818e+00
2.7751e-01	3.0303e+00
2.7909e-01	2.8788e+00
2.8063e-01	2.7273e+00
2.8212e-01	2.5758e+00
2.8357e-01	2.4242e+00
2.8498e-01	2.2727e+00
2.8635e-01	2.1212e+00
2.8768e-01	1.9697e+00
2.8898e-01	1.8182e+00
2.9024e-01	1.6667e+00
2.9147e-01	1.5152e+00
2.9267e-01	1.3636e+00
2.9385e-01	1.2121e+00
2.9501e-01	1.0606e+00
2.9615e-01	9.0909e-01
2.9729e-01	7.5758e-01
2.9844e-01	6.0606e-01
2.9963e-01	4.5455e-01
3.0090e-01	3.0303e-01
3.0242e-01	1.5152e-01
3.0451e-01	7.5000e-04
