Title: P in a C-H (1:1.38) plasma (Ni = 1.06e+24/cm^3, Ti=Te= 7.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 10.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	4.6819e-03
4.0000e-01	7.5140e-03
6.0000e-01	9.8489e-03
8.0000e-01	1.1998e-02
1.0000e+00	1.4064e-02
1.2000e+00	1.6094e-02
1.4000e+00	1.8116e-02
1.6000e+00	2.0147e-02
1.8000e+00	2.2200e-02
2.0000e+00	2.4284e-02
2.2000e+00	2.6405e-02
2.4000e+00	2.8571e-02
2.6000e+00	3.0785e-02
2.8000e+00	3.3052e-02
3.0000e+00	3.5376e-02
3.2000e+00	3.7759e-02
3.4000e+00	4.0205e-02
3.6000e+00	4.2715e-02
3.8000e+00	4.5291e-02
4.0000e+00	4.7937e-02
4.2000e+00	5.0653e-02
4.4000e+00	5.3441e-02
4.6000e+00	5.6302e-02
4.8000e+00	5.9237e-02
5.0000e+00	6.2248e-02
5.2000e+00	6.5336e-02
5.4000e+00	6.8501e-02
5.6000e+00	7.1744e-02
5.8000e+00	7.5066e-02
6.0000e+00	7.8467e-02
6.2000e+00	8.1949e-02
6.4000e+00	8.5510e-02
6.6000e+00	8.9152e-02
6.8000e+00	9.2875e-02
7.0000e+00	9.6679e-02
7.2000e+00	1.0056e-01
7.4000e+00	1.0453e-01
7.6000e+00	1.0858e-01
7.8000e+00	1.1271e-01
8.0000e+00	1.1692e-01
8.2000e+00	1.2122e-01
8.4000e+00	1.2559e-01
8.6000e+00	1.3005e-01
8.8000e+00	1.3459e-01
9.0000e+00	1.3921e-01
9.2000e+00	1.4391e-01
9.4000e+00	1.4870e-01
9.6000e+00	1.5356e-01
9.8000e+00	1.5851e-01
1.0000e+01	1.6353e-01
1.0200e+01	1.6864e-01
1.0400e+01	1.7383e-01
1.0600e+01	1.7910e-01
1.0800e+01	1.8445e-01
1.1000e+01	1.8988e-01
1.1200e+01	1.9539e-01
1.1400e+01	2.0098e-01
1.1600e+01	2.0665e-01
1.1800e+01	2.1240e-01
1.2000e+01	2.1823e-01
1.2200e+01	2.2414e-01
1.2400e+01	2.3012e-01
1.2600e+01	2.3619e-01
1.2800e+01	2.4233e-01
1.3000e+01	2.4856e-01
1.3200e+01	2.5486e-01
1.3400e+01	2.6124e-01
1.3600e+01	2.6770e-01
1.3800e+01	2.7423e-01
1.4000e+01	2.8085e-01
1.4200e+01	2.8754e-01
1.4400e+01	2.9431e-01
1.4600e+01	3.0115e-01
1.4800e+01	3.0808e-01
1.5000e+01	3.1508e-01
1.5200e+01	3.2215e-01
1.5400e+01	3.2931e-01
1.5600e+01	3.3654e-01
1.5800e+01	3.4384e-01
1.6000e+01	3.5123e-01
1.6200e+01	3.5869e-01
1.6400e+01	3.6622e-01
1.6600e+01	3.7383e-01
1.6800e+01	3.8152e-01
1.7000e+01	3.8928e-01
1.7200e+01	3.9712e-01
1.7400e+01	4.0503e-01
1.7600e+01	4.1302e-01
1.7800e+01	4.2108e-01
1.8000e+01	4.2922e-01
1.8200e+01	4.3743e-01
1.8400e+01	4.4572e-01
1.8600e+01	4.5408e-01
1.8800e+01	4.6251e-01
1.9000e+01	4.7103e-01
1.9200e+01	4.7961e-01
1.9400e+01	4.8827e-01
1.9600e+01	4.9700e-01
1.9800e+01	5.0581e-01
2.0000e+01	5.1469e-01
