Title: P in a D plasma (Ni = 5.98e+24/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 20.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
5.6128e-03	1.4848e+01
1.1179e-02	1.4697e+01
1.6698e-02	1.4545e+01
2.2170e-02	1.4394e+01
2.7595e-02	1.4242e+01
3.2973e-02	1.4091e+01
3.8304e-02	1.3939e+01
4.3587e-02	1.3788e+01
4.8823e-02	1.3636e+01
5.4012e-02	1.3485e+01
5.9153e-02	1.3333e+01
6.4247e-02	1.3182e+01
6.9293e-02	1.3030e+01
7.4291e-02	1.2879e+01
7.9242e-02	1.2727e+01
8.4145e-02	1.2576e+01
8.9000e-02	1.2424e+01
9.3806e-02	1.2273e+01
9.8565e-02	1.2121e+01
1.0328e-01	1.1970e+01
1.0794e-01	1.1818e+01
1.1255e-01	1.1667e+01
1.1712e-01	1.1515e+01
1.2163e-01	1.1364e+01
1.2610e-01	1.1212e+01
1.3052e-01	1.1061e+01
1.3489e-01	1.0909e+01
1.3921e-01	1.0758e+01
1.4348e-01	1.0606e+01
1.4771e-01	1.0455e+01
1.5188e-01	1.0303e+01
1.5600e-01	1.0152e+01
1.6008e-01	1.0000e+01
1.6410e-01	9.8485e+00
1.6808e-01	9.6970e+00
1.7201e-01	9.5455e+00
1.7588e-01	9.3939e+00
1.7971e-01	9.2424e+00
1.8348e-01	9.0909e+00
1.8721e-01	8.9394e+00
1.9088e-01	8.7879e+00
1.9451e-01	8.6364e+00
1.9808e-01	8.4848e+00
2.0160e-01	8.3333e+00
2.0507e-01	8.1818e+00
2.0849e-01	8.0303e+00
2.1186e-01	7.8788e+00
2.1518e-01	7.7273e+00
2.1845e-01	7.5758e+00
2.2166e-01	7.4242e+00
2.2482e-01	7.2727e+00
2.2793e-01	7.1212e+00
2.3099e-01	6.9697e+00
2.3400e-01	6.8182e+00
2.3695e-01	6.6667e+00
2.3985e-01	6.5152e+00
2.4270e-01	6.3636e+00
2.4549e-01	6.2121e+00
2.4823e-01	6.0606e+00
2.5092e-01	5.9091e+00
2.5355e-01	5.7576e+00
2.5613e-01	5.6061e+00
2.5865e-01	5.4545e+00
2.6112e-01	5.3030e+00
2.6354e-01	5.1515e+00
2.6590e-01	5.0000e+00
2.6820e-01	4.8485e+00
2.7045e-01	4.6970e+00
2.7264e-01	4.5455e+00
2.7478e-01	4.3939e+00
2.7686e-01	4.2424e+00
2.7888e-01	4.0909e+00
2.8085e-01	3.9394e+00
2.8276e-01	3.7879e+00
2.8461e-01	3.6364e+00
2.8640e-01	3.4848e+00
2.8814e-01	3.3333e+00
2.8981e-01	3.1818e+00
2.9143e-01	3.0303e+00
2.9299e-01	2.8788e+00
2.9449e-01	2.7273e+00
2.9593e-01	2.5758e+00
2.9731e-01	2.4242e+00
2.9863e-01	2.2727e+00
2.9989e-01	2.1212e+00
3.0109e-01	1.9697e+00
3.0224e-01	1.8182e+00
3.0333e-01	1.6667e+00
3.0436e-01	1.5152e+00
3.0534e-01	1.3636e+00
3.0627e-01	1.2121e+00
3.0715e-01	1.0606e+00
3.0799e-01	9.0909e-01
3.0879e-01	7.5758e-01
3.0955e-01	6.0606e-01
3.1029e-01	4.5455e-01
3.1104e-01	3.0303e-01
3.1185e-01	1.5152e-01
3.1290e-01	3.7500e-04
