Title: P in a Si-02 plasma (Ni = 5.98e+23/cm^3, Ti=Te= 2.50e-01 keV)
Header: Electron degeneracy correction used.
rho = 20.000000 gm/cm^3
rhoR (g/cm^2)	Energy (MeV)
0.0000e+00	1.5000e+01
6.6706e-03	1.4848e+01
1.3288e-02	1.4697e+01
1.9851e-02	1.4545e+01
2.6362e-02	1.4394e+01
3.2818e-02	1.4242e+01
3.9221e-02	1.4091e+01
4.5570e-02	1.3939e+01
5.1865e-02	1.3788e+01
5.8106e-02	1.3636e+01
6.4293e-02	1.3485e+01
7.0426e-02	1.3333e+01
7.6504e-02	1.3182e+01
8.2529e-02	1.3030e+01
8.8498e-02	1.2879e+01
9.4413e-02	1.2727e+01
1.0027e-01	1.2576e+01
1.0608e-01	1.2424e+01
1.1183e-01	1.2273e+01
1.1752e-01	1.2121e+01
1.2317e-01	1.1970e+01
1.2875e-01	1.1818e+01
1.3428e-01	1.1667e+01
1.3975e-01	1.1515e+01
1.4517e-01	1.1364e+01
1.5054e-01	1.1212e+01
1.5584e-01	1.1061e+01
1.6109e-01	1.0909e+01
1.6629e-01	1.0758e+01
1.7143e-01	1.0606e+01
1.7651e-01	1.0455e+01
1.8154e-01	1.0303e+01
1.8651e-01	1.0152e+01
1.9142e-01	1.0000e+01
1.9627e-01	9.8485e+00
2.0107e-01	9.6970e+00
2.0582e-01	9.5455e+00
2.1050e-01	9.3939e+00
2.1513e-01	9.2424e+00
2.1969e-01	9.0909e+00
2.2421e-01	8.9394e+00
2.2866e-01	8.7879e+00
2.3305e-01	8.6364e+00
2.3739e-01	8.4848e+00
2.4167e-01	8.3333e+00
2.4589e-01	8.1818e+00
2.5005e-01	8.0303e+00
2.5415e-01	7.8788e+00
2.5819e-01	7.7273e+00
2.6218e-01	7.5758e+00
2.6610e-01	7.4242e+00
2.6996e-01	7.2727e+00
2.7376e-01	7.1212e+00
2.7751e-01	6.9697e+00
2.8119e-01	6.8182e+00
2.8481e-01	6.6667e+00
2.8837e-01	6.5152e+00
2.9187e-01	6.3636e+00
2.9531e-01	6.2121e+00
2.9868e-01	6.0606e+00
3.0200e-01	5.9091e+00
3.0525e-01	5.7576e+00
3.0844e-01	5.6061e+00
3.1156e-01	5.4545e+00
3.1463e-01	5.3030e+00
3.1763e-01	5.1515e+00
3.2056e-01	5.0000e+00
3.2343e-01	4.8485e+00
3.2624e-01	4.6970e+00
3.2898e-01	4.5455e+00
3.3165e-01	4.3939e+00
3.3426e-01	4.2424e+00
3.3681e-01	4.0909e+00
3.3929e-01	3.9394e+00
3.4170e-01	3.7879e+00
3.4404e-01	3.6364e+00
3.4631e-01	3.4848e+00
3.4852e-01	3.3333e+00
3.5066e-01	3.1818e+00
3.5273e-01	3.0303e+00
3.5473e-01	2.8788e+00
3.5666e-01	2.7273e+00
3.5852e-01	2.5758e+00
3.6031e-01	2.4242e+00
3.6203e-01	2.2727e+00
3.6368e-01	2.1212e+00
3.6527e-01	1.9697e+00
3.6678e-01	1.8182e+00
3.6823e-01	1.6667e+00
3.6961e-01	1.5152e+00
3.7092e-01	1.3636e+00
3.7217e-01	1.2121e+00
3.7337e-01	1.0606e+00
3.7451e-01	9.0909e-01
3.7561e-01	7.5758e-01
3.7666e-01	6.0606e-01
3.7769e-01	4.5455e-01
3.7871e-01	3.0303e-01
3.7981e-01	1.5152e-01
3.8111e-01	3.7500e-04
