Title: P in a Si-02 plasma (Ni = 1.50e+23/cm^3, Ti=Te= 1.12e+00 keV)
Header: Electron degeneracy correction used.
rho = 5.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	6.8325e-03
4.0000e-01	1.1785e-02
6.0000e-01	1.5717e-02
8.0000e-01	1.9215e-02
1.0000e+00	2.2484e-02
1.2000e+00	2.5621e-02
1.4000e+00	2.8679e-02
1.6000e+00	3.1691e-02
1.8000e+00	3.4680e-02
2.0000e+00	3.7662e-02
2.2000e+00	4.0649e-02
2.4000e+00	4.3650e-02
2.6000e+00	4.6674e-02
2.8000e+00	4.9727e-02
3.0000e+00	5.2815e-02
3.2000e+00	5.5941e-02
3.4000e+00	5.9110e-02
3.6000e+00	6.2326e-02
3.8000e+00	6.5591e-02
4.0000e+00	6.8909e-02
4.2000e+00	7.2282e-02
4.4000e+00	7.5712e-02
4.6000e+00	7.9203e-02
4.8000e+00	8.2754e-02
5.0000e+00	8.6369e-02
5.2000e+00	9.0050e-02
5.4000e+00	9.3797e-02
5.6000e+00	9.7611e-02
5.8000e+00	1.0150e-01
6.0000e+00	1.0545e-01
6.2000e+00	1.0948e-01
6.4000e+00	1.1358e-01
6.6000e+00	1.1775e-01
6.8000e+00	1.2200e-01
7.0000e+00	1.2632e-01
7.2000e+00	1.3072e-01
7.4000e+00	1.3520e-01
7.6000e+00	1.3976e-01
7.8000e+00	1.4439e-01
8.0000e+00	1.4910e-01
8.2000e+00	1.5390e-01
8.4000e+00	1.5877e-01
8.6000e+00	1.6372e-01
8.8000e+00	1.6876e-01
9.0000e+00	1.7387e-01
9.2000e+00	1.7907e-01
9.4000e+00	1.8435e-01
9.6000e+00	1.8971e-01
9.8000e+00	1.9516e-01
1.0000e+01	2.0068e-01
1.0200e+01	2.0629e-01
1.0400e+01	2.1199e-01
1.0600e+01	2.1776e-01
1.0800e+01	2.2362e-01
1.1000e+01	2.2957e-01
1.1200e+01	2.3559e-01
1.1400e+01	2.4171e-01
1.1600e+01	2.4790e-01
1.1800e+01	2.5418e-01
1.2000e+01	2.6054e-01
1.2200e+01	2.6699e-01
1.2400e+01	2.7352e-01
1.2600e+01	2.8013e-01
1.2800e+01	2.8683e-01
1.3000e+01	2.9361e-01
1.3200e+01	3.0048e-01
1.3400e+01	3.0743e-01
1.3600e+01	3.1446e-01
1.3800e+01	3.2158e-01
1.4000e+01	3.2878e-01
1.4200e+01	3.3607e-01
1.4400e+01	3.4344e-01
1.4600e+01	3.5089e-01
1.4800e+01	3.5842e-01
1.5000e+01	3.6604e-01
1.5200e+01	3.7374e-01
1.5400e+01	3.8153e-01
1.5600e+01	3.8940e-01
1.5800e+01	3.9735e-01
1.6000e+01	4.0538e-01
1.6200e+01	4.1350e-01
1.6400e+01	4.2170e-01
1.6600e+01	4.2998e-01
1.6800e+01	4.3834e-01
1.7000e+01	4.4679e-01
1.7200e+01	4.5532e-01
1.7400e+01	4.6393e-01
1.7600e+01	4.7262e-01
1.7800e+01	4.8139e-01
1.8000e+01	4.9025e-01
1.8200e+01	4.9919e-01
1.8400e+01	5.0821e-01
1.8600e+01	5.1731e-01
1.8800e+01	5.2649e-01
1.9000e+01	5.3575e-01
1.9200e+01	5.4510e-01
1.9400e+01	5.5452e-01
1.9600e+01	5.6403e-01
1.9800e+01	5.7362e-01
2.0000e+01	5.8328e-01
