Title: P in a Si-02 plasma (Ni = 1.50e+23/cm^3, Ti=Te= 3.75e-01 keV)
Header: Electron degeneracy correction used.
rho = 5.000000 gm/cm^3
Energy (MeV)	Range (g/cm^2)
2.0000e-01	2.3108e-03
4.0000e-01	3.7753e-03
6.0000e-01	5.1173e-03
8.0000e-01	6.4462e-03
1.0000e+00	7.8013e-03
1.2000e+00	9.2037e-03
1.4000e+00	1.0667e-02
1.6000e+00	1.2200e-02
1.8000e+00	1.3810e-02
2.0000e+00	1.5502e-02
2.2000e+00	1.7282e-02
2.4000e+00	1.9153e-02
2.6000e+00	2.1117e-02
2.8000e+00	2.3176e-02
3.0000e+00	2.5332e-02
3.2000e+00	2.7586e-02
3.4000e+00	2.9939e-02
3.6000e+00	3.2392e-02
3.8000e+00	3.4945e-02
4.0000e+00	3.7598e-02
4.2000e+00	4.0351e-02
4.4000e+00	4.3203e-02
4.6000e+00	4.6156e-02
4.8000e+00	4.9208e-02
5.0000e+00	5.2359e-02
5.2000e+00	5.5608e-02
5.4000e+00	5.8956e-02
5.6000e+00	6.2401e-02
5.8000e+00	6.5944e-02
6.0000e+00	6.9583e-02
6.2000e+00	7.3319e-02
6.4000e+00	7.7150e-02
6.6000e+00	8.1077e-02
6.8000e+00	8.5100e-02
7.0000e+00	8.9216e-02
7.2000e+00	9.3427e-02
7.4000e+00	9.7732e-02
7.6000e+00	1.0213e-01
7.8000e+00	1.0662e-01
8.0000e+00	1.1120e-01
8.2000e+00	1.1588e-01
8.4000e+00	1.2065e-01
8.6000e+00	1.2550e-01
8.8000e+00	1.3045e-01
9.0000e+00	1.3549e-01
9.2000e+00	1.4062e-01
9.4000e+00	1.4585e-01
9.6000e+00	1.5116e-01
9.8000e+00	1.5656e-01
1.0000e+01	1.6205e-01
1.0200e+01	1.6763e-01
1.0400e+01	1.7329e-01
1.0600e+01	1.7905e-01
1.0800e+01	1.8489e-01
1.1000e+01	1.9082e-01
1.1200e+01	1.9684e-01
1.1400e+01	2.0295e-01
1.1600e+01	2.0914e-01
1.1800e+01	2.1543e-01
1.2000e+01	2.2179e-01
1.2200e+01	2.2825e-01
1.2400e+01	2.3479e-01
1.2600e+01	2.4141e-01
1.2800e+01	2.4813e-01
1.3000e+01	2.5492e-01
1.3200e+01	2.6181e-01
1.3400e+01	2.6878e-01
1.3600e+01	2.7583e-01
1.3800e+01	2.8297e-01
1.4000e+01	2.9019e-01
1.4200e+01	2.9750e-01
1.4400e+01	3.0489e-01
1.4600e+01	3.1237e-01
1.4800e+01	3.1993e-01
1.5000e+01	3.2758e-01
1.5200e+01	3.3530e-01
1.5400e+01	3.4312e-01
1.5600e+01	3.5101e-01
1.5800e+01	3.5899e-01
1.6000e+01	3.6705e-01
1.6200e+01	3.7519e-01
1.6400e+01	3.8342e-01
1.6600e+01	3.9173e-01
1.6800e+01	4.0012e-01
1.7000e+01	4.0860e-01
1.7200e+01	4.1715e-01
1.7400e+01	4.2579e-01
1.7600e+01	4.3451e-01
1.7800e+01	4.4332e-01
1.8000e+01	4.5220e-01
1.8200e+01	4.6116e-01
1.8400e+01	4.7021e-01
1.8600e+01	4.7934e-01
1.8800e+01	4.8855e-01
1.9000e+01	4.9784e-01
1.9200e+01	5.0721e-01
1.9400e+01	5.1666e-01
1.9600e+01	5.2619e-01
1.9800e+01	5.3581e-01
2.0000e+01	5.4550e-01
